caret-left                              \ufb2b
caret-left-right                        \ufd02
caret-right                             \ufb2c
caret-up                                \ufb2d
caret-up-down                           \ufd03
carousel-horizontal                     \ufa92
carousel-vertical                       \ufa93
cash-banknote                           \ufe80
category                                \ufb2e
charging-pile                           \u1001b
chart-area                              \uf66b
chart-area-line                         \uf66c
chart-bubble                            \uf66d
chart-candle                            \uf66e
chart-donut                             \uf66f
chart-dots                              \ufd04
chart-dots-2                            \u100dd
chart-dots-3                            \u100dc
chart-funnel                            \u100db
chart-grid-dots                         \ufd05
chart-pie                               \uf670
chart-pie-2                             \u100da
chart-pie-3                             \u100d9
chart-pie-4                             \u100d8
check                                   \u101e6
chef-hat                                \u100d7
cherry                                  \uf728
chess                                   \uf72a
chess-bishop                            \uf729
chess-king                              \uf72b
chess-knight                            \uf72c
chess-queen                             \uf72d
chess-rook                              \uf72e
chevron-down                            \u101e5
chevron-right                           \u101e4
christmas-tree                          \u1001a
circle                                  \uf671
circle-arrow-down                       \uf6f4
circle-arrow-down-left                  \uf6f5
circle-arrow-down-right                 \uf6f7
circle-arrow-left                       \uf6fa
circle-arrow-right                      \uf6fc
circle-arrow-up                         \uf6fe
circle-arrow-up-left                    \uf6ff
circle-arrow-up-right                   \uf701
circle-caret-down                       \u100d6
circle-caret-left                       \u100d5
circle-caret-right                      \u100d4
circle-caret-up                         \u100d3
circle-check                            \uf704
circle-chevron-down                     \u100d2
circle-chevron-left                     \u100d1
circle-chevron-right                    \u100d0
circle-chevron-up                       \u100cf
circle-chevrons-down                    \u100ef
circle-chevrons-left                    \u100ee
circle-chevrons-right                   \u100ed
circle-chevrons-up                      \u100ec
circle-dot                              \uf705
circle-key                              \uf706
circle-letter-a                         \ufe7f
circle-letter-b                         \ufe7e
circle-letter-c                         \ufe7d
circle-letter-d                         \ufe7c
circle-letter-e                         \ufe7b
circle-letter-f                         \ufe7a
circle-letter-g                         \ufe79
circle-letter-h                         \ufe78
circle-letter-i                         \ufe77
circle-letter-j                         \ufe76
circle-letter-k                         \ufe75
circle-letter-l                         \ufe74
circle-letter-m                         \ufe73
circle-letter-n                         \ufe72
circle-letter-o                         \ufe71
circle-letter-p                         \ufe70
circle-letter-q                         \ufe6f
circle-letter-r                         \ufe6e
circle-letter-s                         \ufe6d
circle-letter-t                         \ufe6c
circle-letter-u                         \ufe6b
circle-letter-v                         \ufe6a
circle-letter-w                         \ufe69
circle-letter-x                         \ufe68
circle-letter-y                         \ufe67
circle-letter-z                         \ufe66
circle-number-0                         \uf72f
circle-number-1                         \uf730
circle-number-2                         \uf731
circle-number-3                         \uf732
circle-number-4                         \uf733
circle-number-5                         \uf734
circle-number-6                         \uf735
circle-number-7                         \uf736
circle-number-8                         \uf737
circle-number-9                         \uf738
circle-percentage                       \ufed5
circle-plus                             \ufef9
circle-rectangle                        \uff63
circle-x                                \uf739
circles                                 \uf672
click                                   \u101e3
clipboard                               \u100cc
clipboard-check                         \u100ce
clipboard-data                          \u100eb
clipboard-list                          \u100ea
clipboard-plus                          \u10176
clipboard-smile                         \u10175
clipboard-text                          \u100e9
clipboard-typography                    \u100e8
clipboard-x                             \u100cd
clock                                   \uf73a
clock-hour-1                            \ufe65
clock-hour-10                           \ufe64
clock-hour-11                           \ufe63
clock-hour-12                           \ufe62
clock-hour-2                            \ufe61
clock-hour-3                            \ufe60
clock-hour-4                            \ufe5f
clock-hour-5                            \ufe5e
clock-hour-6                            \ufe5d
clock-hour-7                            \ufe5c
clock-hour-8                            \ufe5b
clock-hour-9                            \ufe5a
cloud                                   \uf673
cloud-computing                         \u1010d
cloud-data-connection                   \u1010c
clover                                  \u10013
clubs                                   \uf674
code-circle                             \ufed3
code-circle-2                           \ufed4
coin                                    \ufd08
coin-bitcoin                            \ufd06
coin-euro                               \ufd07
